16  0.372458	2.241057e-01	1.055683e+00	1.989583e+00	-9.331286e-01	
2  1.20945	2.642215e-01	1.107580e+00	1.745873e+00	-9.362908e-01	
19  1.85411	2.642215e-01	1.107580e+00	2.082007e+00	-7.836127e-01	
2  0.700238	2.642215e-01	1.107580e+00	1.746250e+00	7.620404e-01	
3  1.99024	3.440619e-01	1.400993e+00	1.561396e+00	7.673268e-01	
8  0.858077	3.440619e-01	1.400993e+00	1.754118e+00	8.046729e-01	
15  1.35098	3.440619e-01	1.400993e+00	1.653112e+00	5.448519e-01	
5  2.24185	3.440619e-01	1.400993e+00	1.547732e+00	6.458155e-01	
6  0.8765	3.440619e-01	1.400993e+00	1.836265e+00	4.553618e-01	
4  2.19732	2.668750e-01	1.013062e+00	1.850345e+00	4.439003e-01	
1  3.04353	2.487887e-01	6.922074e-01	1.490567e+00	4.272087e-01	
2  3.04106	2.487887e-01	6.922074e-01	1.298922e+00	8.076241e-01	
8  2.14869	2.668080e-01	8.556847e-01	1.410760e+00	8.147409e-01	
1  1.71561	2.416373e-01	7.989677e-01	1.525539e+00	8.152538e-01	
6  2.31464	2.354126e-01	6.971374e-01	1.415290e+00	8.100328e-01	
1  3.57846	2.354126e-01	6.971374e-01	1.253897e+00	5.451519e-01	
11  4.57262	2.059377e-01	4.859478e-01	1.159720e+00	5.369348e-01	
1  4.89025	2.059377e-01	4.859478e-01	1.521322e+00	-7.422826e-01	
2  7.23035	2.834419e-01	6.134720e-01	1.093511e+00	-7.467318e-01	
6  4.82322	2.834419e-01	6.134720e-01	1.351421e+00	-4.216329e-01	
1  4.80872	3.079541e-01	6.915226e-01	1.275671e+00	-4.207427e-01	
3  2.17068	3.288679e-01	1.236901e+00	1.966996e+00	-3.908216e-01	
8  1.37034	3.662326e-01	1.346031e+00	1.835983e+00	-3.900643e-01	
2  3.1914	3.289079e-01	1.409548e+00	2.239262e+00	-3.803124e-01	
9  0.689376	3.289079e-01	1.409548e+00	1.985514e+00	-7.921424e-01	
1  0.999214	3.289079e-01	1.409548e+00	1.900511e+00	9.793168e-01	
